RestaurantName,Name,Cost
El Pollo Loco,Tortilla Soup (Small),$2.99
El Pollo Loco,Tortilla Soup (Large),$5.49
El Pollo Loco,Chips & Guacamole,$2.99
El Pollo Loco,Tortilla Roll,$1.99
El Pollo Loco,Leg & Thigh -Combo (2),$6.89
El Pollo Loco,Breast & Wing - Combo (2),$7.39
El Pollo Loco,Leg & Thigh -Combo (3),$7.89
El Pollo Loco,Breast & Wing - Combo (3),$8.89
El Pollo Loco,Half Chicken Combo (4),$8.99
El Pollo Loco,Skinless Breast Combo with Vegtables & Side Salad,$6.39
El Pollo Loco,Avocado Burrito (Chicken),$5.99
El Pollo Loco,Avocado Burrito (Baja Shrimp),$6.99
El Pollo Loco,Spicy Chipotle Burrito (Chicken),$5.99
El Pollo Loco,Spicy Chipotle Burrito (Baja Shrimp),$6.99
El Pollo Loco,Tostada Salad (Chicken),$5.99
El Pollo Loco,Tostada Salad (Baja Shrimp),$6.99
El Pollo Loco,Avocado Quesadilla (Chicken),$5.79
El Pollo Loco,Avocado Quesadilla (Baja Shrimp),$6.89
Carl's Jr,Hamburger,$2.00
Carl's Jr,Cheeseburger,$3.00
Carl's Jr,Sprite,$1.00
Starbucks,Coffee,$2.00
Starbucks,Tea,$4.00
Starbucks,Frappaccino,$5.00